appid,title,contents,date,tags
578080,Patch Notes - Update 37.2,{STEAM_CLAN_IMAGE}/27971017/ada7b6d6a7441e36e1352cd0e3c92572009446b2.jpg Read the full announcement here!,1757397649,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (08/25~08/31),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1756969255,
578080,Update on Actions Against DMA-Based Hacks and Other Cheats,{STEAM_CLAN_IMAGE}/27971017/5198fa98ae59d5693b8832d218ba83cfea0d88dd.jpg Read the full announcement here!,1756965651,
578080,Check-In Event,"MissionEnter the lobby daily. (Resets every day at 02:00 UTC.)Total Obtainable Rewards Bugatti Loot Cache Fragment (x10)Contraband Coupon (x20)Event Schedule (UTC)PC: September 4, 02:00 - September 9, 02:00Console: September 11, 02:00 - September 16, 02:00",1756904400,
578080,Check-In Event,"MissionEnter the lobby daily. (Resets every day at 02:00 UTC.)Total Obtainable Rewards Bugatti Loot Cache Fragment (x10)Bugatti Loot Cache (x1)Contraband Coupon (x20)Event Schedule (UTC)PC: August 28, 02:00 - September 2, 02:00Console: September 4, 02:00 - September 9, 02:00",1756299652,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (08/18~08/24),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1756278034,
578080,Continue or Quit?,"Missions※ Play missions can be completed by playing for more than 5 minutes.Play POBG 1 time.Play POBG a total of 5 times.Play POBG a total of 10 times.Clear a POBG map 6 times in total.Slay a total of 500 POBG chicken monsters.Defeat the Erangel stage boss in POBG (Hard).Total Obtainable Rewards BP (x5,000)Key (x1)Hunter’s Chest (x1)Bugatti Loot Cache Fragment (x10)Contraband Coupon (x10)Unbothered SunglassesEvent Schedule (UTC)PC: August 21, 07:00 - September 9, 07:00Console: August 28, 07:00 - September 17, 07:00",1755802840,
578080,2025 PUBG GLOBAL PARTNER TEAMS: TEAM EDITION SKINS,{STEAM_CLAN_IMAGE}/27971017/ceec07c679b837aeff6e9778e99f934711dfa8aa.png Read the full announcement here!,1755690915,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (08/11~08/17),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1755673240,
578080,Check-In Event,"MissionEnter the lobby daily. (Resets every day at 02:00 UTC.)Total Obtainable Rewards Bugatti Loot Cache Fragment (x20)Bugatti Loot Cache (x1)Contraband Coupon (x10)Center of Attention (Spray)Event Schedule (UTC)PC: August 20, 02:00 - August 27, 02:00Console: August 28, 02:00 - September 4, 02:00",1755608443,
578080,Check-In Event,"MissionEnter the lobby daily. (Resets every day at 02:00 UTC.)Total Obtainable Rewards Bugatti Loot Cache Fragment (x20)Bugatti Loot Cache (x1)Contraband Coupon (x10)Yeet! (Spray)Event Schedule (UTC)PC: August 15, 02:00 - August 18, 02:00Console: August 22, 02:00 - August 25, 02:00",1755176442,
578080,Survival Week,"Missions※ Survival missions can be completed in Normal Match/Ranked/Arcade.※ Survival time includes time spent spectating your teammates.Enter the lobby.Survive 15 minutes in total.Survive 30 minutes in total.Total Obtainable Rewards Polymer (x100)Bugatti Loot Cache Fragment (x10)Contraband Coupon (x10)Event Schedule (UTC)PC: August 13, after live server maintenance - August 20, 02:00Console: August 21, after live server maintenance - August 28, 02:00",1755068456,
